지점,지점명,일시,강수량(mm),강수량 QC플래그
90,속초,1991-07-07 19:00,2.7,0
90,속초,1991-07-07 20:00,.2,0
90,속초,1991-07-07 21:00,0,0
90,속초,1991-07-10 00:00,0,0
90,속초,1991-07-10 01:00,0,0
90,속초,1991-07-10 02:00,0,0
90,속초,1991-07-10 20:00,0,0
90,속초,1991-07-10 21:00,2.4,0
90,속초,1991-07-10 22:00,.1,0
90,속초,1991-07-13 20:00,.5,0
90,속초,1991-07-13 21:00,2.5,0
90,속초,1991-07-15 10:00,.3,0
90,속초,1991-07-15 11:00,.4,0
90,속초,1991-07-15 12:00,.1,0
90,속초,1991-07-15 13:00,0,0
90,속초,1991-07-15 14:00,.6,0
90,속초,1991-07-15 15:00,0,0
90,속초,1991-07-15 16:00,0,0
90,속초,1991-07-15 17:00,.1,0
90,속초,1991-07-15 18:00,.1,0
90,속초,1991-07-15 19:00,0,0
90,속초,1991-07-15 20:00,.1,0
90,속초,1991-07-15 21:00,.1,0
90,속초,1991-07-15 22:00,0,0
90,속초,1991-07-15 23:00,.1,0
90,속초,1991-07-16 00:00,0,0
90,속초,1991-07-17 16:00,.2,0
90,속초,1991-07-17 17:00,.1,0
90,속초,1991-07-17 18:00,0,0
90,속초,1991-07-18 03:00,.4,0
90,속초,1991-07-18 04:00,0,0
90,속초,1991-07-18 05:00,0,0
90,속초,1991-07-19 02:00,.2,0
90,속초,1991-07-19 03:00,0,0
90,속초,1991-07-19 04:00,0,0
90,속초,1991-07-19 06:00,0,0
90,속초,1991-07-19 07:00,.3,0
90,속초,1991-07-19 08:00,.1,0
90,속초,1991-07-19 09:00,.2,0
90,속초,1991-07-19 16:00,0,0
90,속초,1991-07-19 17:00,0,0
90,속초,1991-07-20 09:00,.1,0
90,속초,1991-07-20 10:00,0,0
90,속초,1991-07-20 14:00,.4,0
90,속초,1991-07-20 15:00,.8,0
90,속초,1991-07-20 16:00,0,0
90,속초,1991-07-21 13:00,0,0
90,속초,1991-07-21 14:00,.1,0
90,속초,1991-07-21 18:00,0,0
